test_num,kSineBeta,kSineAlpha,swc_value,swc_sl_passed,swc_all_passed,swc_diff_swcr,swcr_sl_passed,sin_el_passed,sl_check1_passed,sl_check2_passed
191,-38,-361,4030,1,1,0,1,1,1,1,
192,-117,-351,4030,1,1,0,1,1,1,1,
193,-219,-328,4030,1,1,0,1,1,1,1,
194,-309,-289,4030,1,1,0,1,1,1,1,
195,-397,-234,4030,1,1,0,1,1,1,1,
196,-457,-51,4030,1,1,0,1,1,1,1,
197,-457,65,4030,1,1,0,1,1,1,1,
198,-382,310,4030,1,1,0,1,1,1,1,
199,-295,395,4030,1,1,0,1,1,1,1,
200,-75,454,4030,1,1,0,1,1,1,1,
201,38,-361,4030,1,1,0,1,1,1,1,
202,117,-351,4030,1,1,0,1,1,1,1,
203,219,-328,4030,1,1,0,1,1,1,1,
204,309,-289,4030,1,1,0,1,1,1,1,
205,397,-234,4030,1,1,0,1,1,1,1,
206,457,-51,4030,1,1,0,1,1,1,1,
207,457,65,4030,1,1,0,1,1,1,1,
208,382,310,4030,1,1,0,1,1,1,1,
209,295,395,4030,1,1,0,1,1,1,1,
210,75,454,4030,1,1,0,1,1,1,1,
211,195,477,1755,0,0,0,0,1,0,0,
212,195,461,4030,1,1,0,1,1,1,1,
213,195,473,1755,0,0,0,0,1,0,0,
214,195,468,4030,1,0,1,0,1,0,0,
215,178,483,1755,0,0,0,0,1,0,0,
216,178,461,4030,1,1,0,1,1,1,1,
217,178,477,2015,0,0,0,0,1,0,0,
218,178,470,4030,1,0,1,0,1,0,0,
219,461,178,4030,1,1,0,1,1,1,1,
220,483,178,2925,0,0,0,0,1,0,0,
221,476,178,3055,0,0,0,0,1,0,0,
222,469,178,4030,1,0,1,0,1,0,0,
223,461,194,4030,1,1,0,1,1,1,1,
224,477,194,2925,0,0,0,0,1,0,0,
225,472,194,2925,0,0,0,0,1,0,0,
226,466,194,4030,1,0,1,0,1,0,0,
227,483,-159,3055,0,0,0,0,0,0,0,
228,461,-159,4030,1,1,0,1,1,1,1,
229,469,-159,4030,1,0,1,0,1,0,0,
230,476,-159,3055,0,0,0,0,1,0,0,
231,468,-182,4095,0,0,0,0,0,0,0,
232,461,-182,4030,1,1,0,1,1,1,1,
233,466,-182,4095,0,0,0,0,0,0,0,
234,464,-182,4030,1,0,1,1,0,1,1,
235,-195,477,1755,0,0,0,0,1,0,0,
236,-195,461,4030,1,1,0,1,1,1,1,
237,-195,473,1755,0,0,0,0,1,0,0,
